run,feature,p_value,drift
clean,emb_0,0.5594706535339355,False
clean,emb_1,0.7301925420761108,False
clean,emb_2,0.634386420249939,False
clean,emb_3,0.1530044972896576,False
clean,emb_4,0.4939199388027191,False
clean,emb_5,0.30324795842170715,False
clean,emb_6,0.4875545799732208,False
clean,emb_7,0.5796916484832764,False
clean,emb_8,0.5729286074638367,False
clean,emb_9,0.7763998508453369,False
clean,emb_10,0.661926805973053,False
clean,emb_11,0.2582998275756836,False
clean,emb_12,0.7502270936965942,False
clean,emb_13,0.9420406818389893,False
clean,emb_14,0.09628258645534515,False
clean,emb_15,0.34814316034317017,False
clean,emb_16,0.8866878151893616,False
clean,emb_17,0.5132392644882202,False
clean,emb_18,0.9824614524841309,False
clean,emb_19,0.5864752531051636,False
clean,emb_20,0.6000972390174866,False
clean,emb_21,0.402900367975235,False
clean,emb_22,0.7369035482406616,False
clean,emb_23,0.2938438355922699,False
clean,emb_24,0.7234525084495544,False
clean,emb_25,0.20035627484321594,False
clean,emb_26,0.8261843919754028,False
clean,emb_27,0.19345401227474213,False
clean,emb_28,0.11065202951431274,False
clean,emb_29,0.7568339109420776,False
clean,emb_30,0.9824614524841309,False
clean,emb_31,0.849412739276886,False
clean,emb_32,0.6756855845451355,False
clean,emb_33,0.7369035482406616,False
clean,emb_34,0.09436281770467758,False
clean,emb_35,0.3586895167827606,False
clean,emb_36,0.38594651222229004,False
clean,emb_37,0.2938438355922699,False
clean,emb_38,0.11284254491329193,False
clean,emb_39,0.7166861295700073,False
clean,emb_40,0.634386420249939,False
clean,emb_41,0.807982861995697,False
clean,emb_42,0.05956802889704704,False
clean,emb_43,0.9348169565200806,False
clean,emb_44,0.11506868153810501,False
clean,emb_45,0.43212199211120605,False
clean,emb_46,0.46869558095932007,False
clean,emb_47,0.661926805973053,False
clean,emb_48,0.402900367975235,False
clean,emb_49,0.7955216765403748,False
clean,weight,0.0,True
brightness,emb_0,2.3881127630964727e-10,True
brightness,emb_1,0.0003969197568949312,True
brightness,emb_2,2.5221670512109995e-05,True
brightness,emb_3,1.0348262524662033e-10,True
brightness,emb_4,2.5225859903543387e-20,True
brightness,emb_5,2.0397416998141846e-19,True
brightness,emb_6,8.640179907258225e-15,True
brightness,emb_7,1.0896471849264344e-06,True
brightness,emb_8,7.56309789372734e-15,True
brightness,emb_9,1.4042369006724028e-24,True
brightness,emb_10,1.5316829748979188e-10,True
brightness,emb_11,0.00011702922347467393,True
brightness,emb_12,4.461522432963952e-14,True
brightness,emb_13,1.0151309652428608e-05,True
brightness,emb_14,9.693122748899441e-09,True
brightness,emb_15,0.0011286636581644416,True
brightness,emb_16,1.5756882930872962e-05,True
brightness,emb_17,0.0005017898511141539,True
brightness,emb_18,0.00028234635828994215,True
brightness,emb_19,1.6842251397974906e-06,True
brightness,emb_20,4.417112856036631e-11,True
brightness,emb_21,1.919130409078207e-05,True
brightness,emb_22,0.009999783709645271,True
brightness,emb_23,4.660507784137735e-06,True
brightness,emb_24,4.1405147336464644e-15,True
brightness,emb_25,0.0026628212071955204,True
brightness,emb_26,0.00015583405911456794,True
brightness,emb_27,3.477231757642585e-06,True
brightness,emb_28,4.831179103348404e-05,True
brightness,emb_29,8.132500079227611e-05,True
brightness,emb_30,0.004497638437896967,True
brightness,emb_31,0.00033504635212011635,True
brightness,emb_32,0.002584757748991251,True
brightness,emb_33,0.0001614648208487779,True
brightness,emb_34,0.014788134023547173,True
brightness,emb_35,0.015963038429617882,True
brightness,emb_36,0.04177238047122955,True
brightness,emb_37,2.6981970222550444e-06,True
brightness,emb_38,0.014414116740226746,True
brightness,emb_39,3.303861012682319e-05,True
brightness,emb_40,0.0020323526114225388,True
brightness,emb_41,2.781526961884162e-12,True
brightness,emb_42,0.0020323526114225388,True
brightness,emb_43,0.0020948508754372597,True
brightness,emb_44,0.0195155031979084,True
brightness,emb_45,0.0006533516570925713,True
brightness,emb_46,5.016452632844448e-05,True
brightness,emb_47,0.001495768316090107,True
brightness,emb_48,0.002584757748991251,True
brightness,emb_49,0.023756887763738632,True
brightness,weight,0.0,True
blur,emb_0,6.278403452597558e-05,True
blur,emb_1,5.016452632844448e-05,True
blur,emb_2,1.0164763608599969e-07,True
blur,emb_3,2.8484229091059525e-18,True
blur,emb_4,1.0996405166270025e-26,True
blur,emb_5,1.0645676311307945e-15,True
blur,emb_6,7.996694642589148e-19,True
blur,emb_7,5.949050426319449e-31,True
blur,emb_8,1.717738559560227e-15,True
blur,emb_9,1.224695761470329e-10,True
blur,emb_10,3.199964382361031e-08,True
blur,emb_11,2.7296946603636792e-31,True
blur,emb_12,1.286960724655728e-07,True
blur,emb_13,1.69242728525805e-21,True
blur,emb_14,6.386254303158978e-10,True
blur,emb_15,1.4555045709130354e-05,True
blur,emb_16,3.7286284097124376e-20,True
blur,emb_17,4.542858718784487e-17,True
blur,emb_18,7.9912008191533e-18,True
blur,emb_19,2.325320247768478e-14,True
blur,emb_20,3.3796833230920924e-34,True
blur,emb_21,1.7871515251958235e-28,True
blur,emb_22,0.0,True
blur,emb_23,1.6106530172088629e-12,True
blur,emb_24,3.4843286315436576e-41,True
blur,emb_25,3.0070295389863007e-23,True
blur,emb_26,1.3319029785576724e-17,True
blur,emb_27,7.426788190248156e-18,True
blur,emb_28,1.946864029581455e-13,True
blur,emb_29,3.849586776573569e-33,True
blur,emb_30,1.1920123698816912e-19,True
blur,emb_31,2.5817926338896026e-15,True
blur,emb_32,7.892467479588844e-39,True
blur,emb_33,3.2235226251534116e-26,True
blur,emb_34,1.5748492965179625e-20,True
blur,emb_35,0.0,True
blur,emb_36,3.754523870867627e-28,True
blur,emb_37,1.993764416429073e-20,True
blur,emb_38,0.0,True
blur,emb_39,0.0,True
blur,emb_40,0.0,True
blur,emb_41,4.0637655465419695e-44,True
blur,emb_42,1.7884113040858053e-14,True
blur,emb_43,5.411041988829604e-25,True
blur,emb_44,0.0,True
blur,emb_45,0.0,True
blur,emb_46,0.0,True
blur,emb_47,0.0,True
blur,emb_48,2.3766659342389575e-19,True
blur,emb_49,1.9750765704281838e-23,True
blur,weight,0.0,True
rotation,emb_0,0.001202112645842135,True
rotation,emb_1,0.0,True
rotation,emb_2,0.0,True
rotation,emb_3,6.016576668300966e-13,True
rotation,emb_4,8.014996666361185e-08,True
rotation,emb_5,1.471363387541058e-43,True
rotation,emb_6,0.014788134023547173,True
rotation,emb_7,1.959649580385303e-07,True
rotation,emb_8,0.000302411470329389,True
rotation,emb_9,1.6129441746670636e-06,True
rotation,emb_10,1.5238068584721987e-08,True
rotation,emb_11,0.00019950875139329582,True
rotation,emb_12,0.10021991282701492,False
rotation,emb_13,1.1900219190748634e-23,True
rotation,emb_14,0.12433739751577377,False
rotation,emb_15,3.360421629849952e-08,True
rotation,emb_16,3.6635984839928756e-17,True
rotation,emb_17,1.919130409078207e-05,True
rotation,emb_18,0.00015583405911456794,True
rotation,emb_19,1.919130409078207e-05,True
rotation,emb_20,8.7596152553715e-09,True
rotation,emb_21,7.913891764133041e-09,True
rotation,emb_22,2.707602675400267e-07,True
rotation,emb_23,1.0348262524662033e-10,True
rotation,emb_24,0.24992701411247253,False
rotation,emb_25,2.901086659790053e-08,True
rotation,emb_26,0.0002375387994106859,True
rotation,emb_27,4.4800093746744096e-05,True
rotation,emb_28,1.843139027409715e-20,True
rotation,emb_29,7.321522161873872e-07,True
rotation,emb_30,0.00017330932314507663,True
rotation,emb_31,0.00154279510024935,True
rotation,emb_32,1.0217921707502028e-19,True
rotation,emb_33,0.01517084427177906,True
rotation,emb_34,5.0718379149272685e-12,True
rotation,emb_35,1.286960724655728e-07,True
rotation,emb_36,6.404974328688695e-07,True
rotation,emb_37,1.4555045709130354e-05,True
rotation,emb_38,0.00016728785703890026,True
rotation,emb_39,0.0,True
rotation,emb_40,6.413447685707925e-18,True
rotation,emb_41,7.486729006156198e-17,True
rotation,emb_42,0.01082671619951725,True
rotation,emb_43,3.224065942890078e-19,True
rotation,emb_44,2.209262232790582e-13,True
rotation,emb_45,3.1139654474226085e-41,True
rotation,emb_46,2.3335298465099186e-05,True
rotation,emb_47,5.243335626792245e-11,True
rotation,emb_48,1.7739355826051906e-05,True
rotation,emb_49,2.815180096149561e-06,True
rotation,weight,0.0,True
noise,emb_0,0.0,True
noise,emb_1,0.0,True
noise,emb_2,1.3347648132386748e-40,True
noise,emb_3,0.0,True
noise,emb_4,0.0,True
noise,emb_5,0.0,True
noise,emb_6,0.0,True
noise,emb_7,0.0,True
noise,emb_8,0.0,True
noise,emb_9,0.0,True
noise,emb_10,0.0,True
noise,emb_11,0.0,True
noise,emb_12,0.0,True
noise,emb_13,0.0,True
noise,emb_14,0.0,True
noise,emb_15,0.0,True
noise,emb_16,0.0,True
noise,emb_17,0.0,True
noise,emb_18,0.0,True
noise,emb_19,0.0,True
noise,emb_20,0.0,True
noise,emb_21,0.0,True
noise,emb_22,0.0,True
noise,emb_23,0.0,True
noise,emb_24,0.0,True
noise,emb_25,0.0,True
noise,emb_26,0.0,True
noise,emb_27,0.0,True
noise,emb_28,0.0,True
noise,emb_29,0.0,True
noise,emb_30,0.0,True
noise,emb_31,0.0,True
noise,emb_32,0.0,True
noise,emb_33,0.0,True
noise,emb_34,0.0,True
noise,emb_35,0.0,True
noise,emb_36,0.0,True
noise,emb_37,0.0,True
noise,emb_38,0.0,True
noise,emb_39,0.0,True
noise,emb_40,0.0,True
noise,emb_41,0.0,True
noise,emb_42,0.0,True
noise,emb_43,0.0,True
noise,emb_44,0.0,True
noise,emb_45,0.0,True
noise,emb_46,0.0,True
noise,emb_47,0.0,True
noise,emb_48,0.0,True
noise,emb_49,0.0,True
noise,weight,0.0,True
